Datetime (UTC),Country,Zone Name,Zone Id,Carbon Intensity gCO₂eq/kWh (direct),Carbon Intensity gCO₂eq/kWh (LCA),Low Carbon Percentage,Renewable Percentage,Data Source,Data Estimated,Data Estimation Method
2023-01-06 07:00:00,USA,Southwestern Power Administration,US-CENT-SPA,489.14,594.26,16.6,16.04,eia.gov,false,
2023-01-06 08:00:00,USA,Southwestern Power Administration,US-CENT-SPA,493.45,604.13,14.18,14.18,eia.gov,false,
2023-01-06 09:00:00,USA,Southwestern Power Administration,US-CENT-SPA,487.82,597.5,15.16,15.16,eia.gov,false,
2023-01-06 10:00:00,USA,Southwestern Power Administration,US-CENT-SPA,480.87,589.34,16.37,16.37,eia.gov,false,
2023-01-06 11:00:00,USA,Southwestern Power Administration,US-CENT-SPA,386.61,478.52,32.76,32.76,eia.gov,false,
2023-01-06 12:00:00,USA,Southwestern Power Administration,US-CENT-SPA,122.58,168.12,78.68,78.68,eia.gov,false,
2023-01-06 13:00:00,USA,Southwestern Power Administration,US-CENT-SPA,105.57,148.11,81.64,81.64,eia.gov,false,
2023-01-06 14:00:00,USA,Southwestern Power Administration,US-CENT-SPA,160.78,213.02,72.04,72.04,eia.gov,false,
2023-01-06 15:00:00,USA,Southwestern Power Administration,US-CENT-SPA,196.98,255.57,65.74,65.74,eia.gov,false,
2023-01-06 16:00:00,USA,Southwestern Power Administration,US-CENT-SPA,366.76,455.18,36.22,36.22,eia.gov,false,
2023-01-06 17:00:00,USA,Southwestern Power Administration,US-CENT-SPA,451.92,555.3,21.4,21.4,eia.gov,false,
2023-01-06 18:00:00,USA,Southwestern Power Administration,US-CENT-SPA,461.56,566.64,19.73,19.73,eia.gov,false,
2023-01-06 19:00:00,USA,Southwestern Power Administration,US-CENT-SPA,456.5,560.69,20.61,20.61,eia.gov,false,
2023-01-06 20:00:00,USA,Southwestern Power Administration,US-CENT-SPA,431.25,531.0,25.0,25.0,eia.gov,false,
2023-01-06 21:00:00,USA,Southwestern Power Administration,US-CENT-SPA,428.97,528.32,25.4,25.4,eia.gov,false,
2023-01-06 22:00:00,USA,Southwestern Power Administration,US-CENT-SPA,424.06,522.55,26.25,26.25,eia.gov,false,
2023-01-06 23:00:00,USA,Southwestern Power Administration,US-CENT-SPA,267.57,338.57,53.47,53.47,eia.gov,false,
2023-01-07 00:00:00,USA,Southwestern Power Administration,US-CENT-SPA,225.42,289.01,60.8,60.8,eia.gov,false,
2023-01-07 01:00:00,USA,Southwestern Power Administration,US-CENT-SPA,266.52,337.33,53.65,53.65,eia.gov,false,
2023-01-07 02:00:00,USA,Southwestern Power Administration,US-CENT-SPA,361.87,449.43,37.07,37.07,eia.gov,false,
2023-01-07 03:00:00,USA,Southwestern Power Administration,US-CENT-SPA,407.0,502.49,29.22,29.22,eia.gov,false,
2023-01-07 04:00:00,USA,Southwestern Power Administration,US-CENT-SPA,408.23,503.94,29.0,29.0,eia.gov,false,
